Autor;Erscheinungsjahr;Titel;ISBN;Aktueller Preis
"Paul Volkmann";1892; """ Ueber Gesetze und Aufgaben der Naturwissenschaften, insbesondere der Physik in formaler Hinsicht""";Unbekannt;Unbekannt
"Unbekannt";1892; """ Franco-Gallia""";Unbekannt;Unbekannt
"Max Hoffmann";1892; """ Satzungen und Bedingungen für die Erwerbung des Doktorgrades bei den Philosophischen Fakultäten der Universitäten des deutschen Reiches ...""";Unbekannt;Unbekannt
"Verein für Hessische Geschichte und Landeskunde, Verein für Hessische Geschichte und Landeskunde Kassel 1834";1892; """ Zeitschrift des Vereins für hessische Geschichte und Landeskunde""";Unbekannt;Unbekannt
"Johann Caspar Bluntschli";1892; """ The Theory of State""";Unbekannt;Unbekannt
"Emanuel Wurm";1892; """ “Die” Lebenshaltung der deutschen Arbeiter, ihre Ernährung und Wohnung, Einkommen, indirekte Besteuerung, Erkrankung und Sterblichkeit Nahrungsmittel""";Unbekannt;Unbekannt
"Karl Andree";1892; """ Globus""";Unbekannt;Unbekannt
"Unbekannt";1892; """ Pfälzische Lehrerzeitung""";Unbekannt;Unbekannt
"Unbekannt";1892; """ Jahres-Bericht des Kgl. Schullehrer-Seminars Freising""";Unbekannt;Unbekannt
"Eduard Meyer";1892; """ Forschungen zur alten Geschichte""";Unbekannt;Unbekannt
"Otto Effertz";1892; """ Einige Worte zur Methodologie der Politischen Ökonomik""";Unbekannt;Unbekannt
"Verein für Hessische Geschichte und Landeskunde, Verein für Hessische Geschichte und Landeskunde Kassel 1834";1892; """ Zeitschrift des Vereins für hessische Geschichte und Landeskunde""";Unbekannt;Unbekannt
"Staatliche akademische Hochschule für Musik (Berlin, Germany)";1892; """ Führer durch die Sammlung alter Musik-Instrumente""";Unbekannt;Unbekannt
"Karl von Reinhardstöttner";1892; """ Studien zur Kultur und Litteraturgeschichte Altbayerns""";Unbekannt;Unbekannt
"Unbekannt";1892; """ Beiträge zur Kunde steiermärkischer Geschichtsquellen""";Unbekannt;Unbekannt
"Unbekannt";1891; """ Allgemeine Zeitung München, 1798 - 1925""";Unbekannt;Unbekannt
"Deutsche Akademie der Wissenschaften zu Berlin";1891; """ Sitzungsberichte der Königlich Preussischen Akademie der Wissenschaften""";Unbekannt;Unbekannt
"Unbekannt";1891; """ Programm des Evangelischen Gymnasiums A.B. zu Mediasch und der Damit Verbundenen Lehranstalten""";Unbekannt;Unbekannt
"Unbekannt";1891; """ Bericht über die Verwaltung und Vermehrung der Königlichen Sammlungen für Kunst und Wissenschaft zu Dresden""";Unbekannt;Unbekannt
"Arthur Schopenhauer";1891; """ Sämmtliche Werke""";Unbekannt;Unbekannt
"Unbekannt";1891; """ Sammlung gemeinverständlicher wissenschaftlicher Vorträge""";Unbekannt;Unbekannt
"J. C. Hinrichs Verlag";1891; """ Vierteljahrs-katalog der neuigkeiten des deutschen buchhandels nach den wissenschaften geordnet""";Unbekannt;Unbekannt
"Historisch-Antiquarische Gesellschaft von Graubünden (Switzerland)";1891; """ Jahresbericht der Historisch-Antiquarischen Gesellschaft von Graubünden""";Unbekannt;Unbekannt
"Adolf Kressner";1891; """ Franco-Gallia""";Unbekannt;Unbekannt
"Eugen Wolff";1891; """ Zola und die Grenzen von Poesie und Wissenschaft""";Unbekannt;Unbekannt
"J. C. Hinrichs Verlag";1891; """ Vierteljahrs-katalog der neuigkeiten des deutschen buchhandels nach den wissenschaften geordnet""";Unbekannt;Unbekannt
"Emil Schürer";1891; """ A History of the Jewish People in the Time of Jesus Christ""";Unbekannt;Unbekannt
"Ernst Wechsler";1891; """ Karl Frenzel""";Unbekannt;Unbekannt
"Unbekannt";1891; """ Tonindustrie-Zeitung""";Unbekannt;Unbekannt
"J. C. Hinrichs Verlag";1891; """ Vierteljahrs-katalog der neuigkeiten des deutschen buchhandels nach den wissenschaften geordnet""";Unbekannt;Unbekannt
"Unbekannt";1891; """ Mittheilungen des Vereins für Geschichte und Landeskunde von Osnabrück""";Unbekannt;Unbekannt
"Georg Hüffer, Victor Gramich, Hermann Grauert, Ludwig Pastor, Gustav Schnürer, Joseph Bernhard Weiss, Karl Weyman, Franz Kampers";1891; """ Historisches Jahrbuch""";Unbekannt;Unbekannt
"Unbekannt";1891; """ Journal für die reine und angewandte Mathematik""";Unbekannt;Unbekannt
"Robert Eitner";1891; """ Quellen- und Hilfswerke beim Studium der Musikgeschichte""";Unbekannt;Unbekannt
"Paul Adam";1890; """ Der Bucheinband""";Unbekannt;Unbekannt
"Unbekannt";1890; """ Programm des Königlichen Gymnasiums zu Rinteln""";Unbekannt;Unbekannt
"Friedrich Dieterici";1890; """ Die philosophie der Araber im IX. und X. Jhrhunder n. Chr. aus der Theologie des Aristotels""";Unbekannt;Unbekannt
"Paul Adam";1890; """ Der Bucheinband""";Unbekannt;Unbekannt
"Unbekannt";1890; """ Sitzungsberichte der Preussischen Akademie der Wissenschaften zu Berlin""";Unbekannt;Unbekannt
"Unbekannt";1890; """ Zeitschrift für mathematischen und naturwissenschaftlichen unterricht""";Unbekannt;Unbekannt
"Unbekannt";1890; """ Die Grenzboten""";Unbekannt;Unbekannt
"Unbekannt";1890; """ ... Jahresbericht des K.K. Staats-Gymnasiums zu Linz über das Schuljahr ...""";Unbekannt;Unbekannt
"Max Jähns";1890; """ Geschichte der kriegswissenschaften: abt. XVII. und XVIII. jahrhundert bis zum auftreten Friedrichs des Grossen 1740""";Unbekannt;Unbekannt
"Karl von Raumer";1890; """ Geschichte der pädagogik vom wiederaufblühen klassischer studien bis auf unsere zeit""";Unbekannt;Unbekannt
"Unbekannt";1890; """ Jahrbuch des Deutschen Archäologischen Instituts""";Unbekannt;Unbekannt
"Friedrich Wilhelm Franz Nippold";1890; """ Handbuch der neuesten Kirchengeschichte: Bd. Geschechte des Protestantismus seit dem deutschen. Refralung skriege. 1. Buch. Geschichte der deutschen Theologie. 2. Buch. Interkonfessionelle Zeitfranen und Eukunftsauzaben""";Unbekannt;Unbekannt
"Unbekannt";1890; """ Denkschriften der Kaiserlichen Akademie der Wissenschaften, Philosophisch-Historische Classe""";Unbekannt;Unbekannt
"Georg Simmel";1890; """ Über sociale Differenzierung""";Unbekannt;Unbekannt
"Wilhelm Brehmer";1890; """ Lübeckische häusernamen nebst beiträgen zur geschichte einzelner häuser""";Unbekannt;Unbekannt
"Unbekannt";1890; """ Bücher-Verzeichniss""";Unbekannt;Unbekannt
"Unbekannt";1890; """ Westermann's illustrierte deutsche Monatshefte""";Unbekannt;Unbekannt
"Vienna Univ";1890; """ Öffentliche Vorlesungen""";Unbekannt;Unbekannt
"Max Jähns";1890; """ Geschichte der kriegswissenschaften: abt. XVII. und XVIII. jahrhundert bis zum auftreten Friedrichs des Grossen 1740""";Unbekannt;Unbekannt
"Unbekannt";1890; """ Antiquarischer Katalog""";Unbekannt;Unbekannt
"Unbekannt";1890; """ Ungarische Revue""";Unbekannt;Unbekannt
"Friedrich Christoph Schlosser";1890; """ Fr. Chr. Schlosser's Weltgeschichte für das deutsche Volk: Geschichte der neueren Zeit""";Unbekannt;Unbekannt
"Unbekannt";1890; """ Bayerische Blatter fur das Gymnasial-Schulwesen""";Unbekannt;Unbekannt
"Otto Neitzel";1890; """ Der Führer durch die Oper des Theaters der gegenwart, test, musik und scene erläuternd...Ideutsche Opern""";Unbekannt;Unbekannt
"Unbekannt";1890; """ Hochschulnachrichten""";Unbekannt;Unbekannt
"Königliche Staatssammlung Vaterländischer Kunst- und Altertums-Denkmale";1889; """ Bilder aus dem K. Kunst- und Altertümer-Kabinet und der K. Staatssammlung Vaterländischer Kunst- und Altertums-Denkmale in Stuttgart""";Unbekannt;Unbekannt
"Schultz";1889; """ Die Ortsgottheiten in der griechischen und römischen Kunst""";Unbekannt;Unbekannt
"Unbekannt";1889; """ Zeitschrift für kirchliche Wissenschaft und kirchliches Leben""";Unbekannt;Unbekannt
"Unbekannt";1889; """ Papyrus Ebers""";Unbekannt;Unbekannt
"Richard Klimpert";1889; """ Lehrbuch der allgemeinen physik""";Unbekannt;Unbekannt
"Wilhelm Heinsius";1889; """ Allgemeines Bücher-Lexikon: Bd. 1885-88. Bearb. u. hrsg. von K. Bolhoevener. 1889-90. 2 v""";Unbekannt;Unbekannt
"Jakob von Falke";1889; """ Aus dem weiten Reiche der Kunst""";Unbekannt;Unbekannt
"Unbekannt";1889; """ Papyrus Ebers""";Unbekannt;Unbekannt
"Gesellschaft für die Geschichte des Protestantismus in Österreich";1889; """ Jahrbuch der Gesellschaft für die Geschichte des Protestantismus in Österreich""";Unbekannt;Unbekannt
"Theodor Kolde";1889; """ Martin Luther: Der Beginn des reformatorischen Kampfes bis zur Entscheidung im Worms""";Unbekannt;Unbekannt
"Unbekannt";1889; """ Papyrus Ebers""";Unbekannt;Unbekannt
"Technische Hochschule Wien";1889; """ Bericht über die feierliche Inauguration des für das Studienjahr ... gewählten Rector Magnificus und Bericht über das Studienjahr ...""";Unbekannt;Unbekannt
"Unbekannt";1889; """ Deutsche Kunst- & Musik-Zeitung""";Unbekannt;Unbekannt
"Wilhelm Heinsius";1889; """ Allgemeines Bücher-Lexikon: Bd. 1885-88. Bearb. u. hrsg. von K. Bolhoevener. 1889-90. 2 v""";Unbekannt;Unbekannt
"Unbekannt";1889; """ Verzeichniß der neu erschienenen und neu aufgelegten Bücher, Landkarten und Zeitschriften &c""";Unbekannt;Unbekannt
"Ignaz Löwy";1889; """ Pikante Blätter""";Unbekannt;Unbekannt
"Fritz Hommel";1889; """ Geographie und politische Geschichte des klassischen Altertums""";Unbekannt;Unbekannt
"Carl Kehr";1889; """ Geschichte der Methodik des deutschen Volksschulunterrichts""";Unbekannt;Unbekannt
"Unbekannt";1889; """ Zeitschrift für Mathematik und Physik""";Unbekannt;Unbekannt
"Hugo Riemann";1889; """ Katechismus der musik-diktats (systematische gehörsbildung)""";Unbekannt;Unbekannt
"Hugo Riemann";1889; """ Katechismus der musik-diktats (systematische gehörsbildung)""";Unbekannt;Unbekannt
"Unbekannt";1889; """ Zeitschrift für kirchliche Wissenschaft und kirchliches Leben""";Unbekannt;Unbekannt
"Historisch-Antiquarische Gesellschaft von Graubünden";1889; """ Jahresbericht""";Unbekannt;Unbekannt
"Unbekannt";1889; """ Zeitschrift für Mathematik und Physik""";Unbekannt;Unbekannt
"Unbekannt";1888; """ Allgemeine deutsche Biographie""";Unbekannt;Unbekannt
"Adolf Gaspary";1888; """ Geschichte der italienischen Literatur""";Unbekannt;Unbekannt
"Hans von Wolzogen";1888; """ Thematischer leitfaden durch die musik des Parsifal""";Unbekannt;Unbekannt
"Unbekannt";1888; """ Zeitschrift Für Romanische Philologie""";Unbekannt;Unbekannt
"Franz Klutschak, Bernhard Gutt";1888; """ Bohemia""";Unbekannt;Unbekannt
"Wilhelm Arndt";1888; """ Leben des h. Bonifazius von Wilibald""";Unbekannt;Unbekannt
"Saint Thomas (Aquinas)";1888; """ Die katholische wahrheit; odor, Die theologische summa des heiligen Thomas von Aquin""";Unbekannt;Unbekannt
"Unbekannt";1888; """ Leopoldina""";Unbekannt;Unbekannt
"Theodor Ackermann";1888; """ Katalog der Buch- und Antiquariats-Handlung von Theodor Ackermann, Promenadeplatz 10 in München""";Unbekannt;Unbekannt
"... Hoffmann";1888; """ Geschichte des Westfälischen Pionier-Bataillons Nr. 7""";Unbekannt;Unbekannt
"Unbekannt";1888; """ Ingolstädter Zeitung""";Unbekannt;Unbekannt
"Heinrich Rickert";1888; """ Zur Lehre von der Definition""";Unbekannt;Unbekannt
"Unbekannt";1888; """ Die Bau- und Kunst-Denkmäler Thüringens""";Unbekannt;Unbekannt
"Unbekannt";1888; """ Leopoldina""";Unbekannt;Unbekannt
"Carl von Lützow";1887; """ Die vervielfältigende Kunst der Gegenwart""";Unbekannt;Unbekannt
"Johann Friedrich Herbart";1887; """ Sämtliche werke""";Unbekannt;Unbekannt
"Wilhelm Heinsius";1887; """ Allgemeines buecher-lexikon, oder Vollstaendiges alphabetisches verzeichniss der von 1700 bis zu ende: bd. 1880-84. Bearb. u. hrsg. von O. Kistner. 1886-87. 2 v""";Unbekannt;Unbekannt
"Georg Erler";1887; """ Dietrich von Nieheim""";Unbekannt;Unbekannt
"Hildesheim (Germany). Städtische bibliothek";1887; """ Bücherverzeichniss der städtischen bibliothek zu Hildesheim""";Unbekannt;Unbekannt
"Hugo Blümner";1887; """ Leben und Sitten der Griechen""";Unbekannt;Unbekannt
"Unbekannt";1887; """ Philosophische Monatshefte""";Unbekannt;Unbekannt
"Johannes Scherr";1887; """ Allgemeine Geschichte der Literatur""";Unbekannt;Unbekannt
"J. C. Holm";1887; """ Die Technik des Badens""";Unbekannt;Unbekannt
"Constant Wurzbach von Tannenberg";1886; """ Biographisches Lexicon des Kaiserthums Österreich, enthaltend die Lebensskizzen der denkwürdigen Personen, welche 1750 bis 1850 im Kaiserstaate und in seinen Kronländern ... gelebt haben""";Unbekannt;Unbekannt
"Sava Popovici Barcianu";1886; """ Wörterbuch der romänischen und Deutschen Sprache""";Unbekannt;Unbekannt
"Constant von Wurzbach";1886; """ Biographisches lexikon des kaiserthums Oesterreich""";Unbekannt;Unbekannt
"C. von Kertbeny, Géza Petrik";1886; """ Ungarns deutsche bibliographie 1801-1860""";Unbekannt;Unbekannt
"Unbekannt";1886; """ Allgemeines Bücher-Lexikon""";Unbekannt;Unbekannt
"Sabbas Popoviciu Barcianu";1886; """ Wörterbuch der romänischen und deutschen Sprache""";Unbekannt;Unbekannt
"Unbekannt";1886; """ Monatshefte für Musik-Geschichte""";Unbekannt;Unbekannt
"Unbekannt";1886; """ Antiquarisches Bücherlager von Kirchhoff & Wigand in Leipzig""";Unbekannt;Unbekannt
"Johannes Janssen";1886; """ Geschichte des deutschen Volkes seit dem Ausgang des Mittelalters""";Unbekannt;Unbekannt
"Unbekannt";1886; """ Beiträge zur Geschichte des Niederrheins""";Unbekannt;Unbekannt
"Joseph Jungmann";1886; """ Aesthetik""";Unbekannt;Unbekannt
"Unbekannt";1886; """ Hinrichs' Fünfjähriger katalog der im deutschen buchandel erschienenen bücher, zeitschriften, landkarten etc. ... Mit ausführlichem sachregister""";Unbekannt;Unbekannt
"Unbekannt";1886; """ Westdeutsche Zeitschrift für Geschichte und Kunst""";Unbekannt;Unbekannt
"Unbekannt";1886; """ Meisterwerke der christlichen Kunst""";Unbekannt;Unbekannt
"Unbekannt";1886; """ Leopoldina""";Unbekannt;Unbekannt
"Unbekannt";1886; """ Adreß- und Geschäfts-Handbuch für die kgl. bayer. Kreis-Haupt- und Universitäts-Stadt Würzburg""";Unbekannt;Unbekannt
"Unbekannt";1886; """ Hinrichs' Repertorium über die nach den halbjährlichen Verzeichnissen erschienenen Bücher, Landkarten etc""";Unbekannt;Unbekannt
"Unbekannt";1886; """ Leopoldina""";Unbekannt;Unbekannt
"Unbekannt";1885; """ Allgemeine deutsche Biographie""";Unbekannt;Unbekannt
"Christoph Friedrich Grieb";1885; """ Englisch-deutsches und Deutsch-englisches Wörterbuch""";Unbekannt;Unbekannt
"Christoph Friedrich Grieb";1885; """ Dictionary of the English and German Languages""";Unbekannt;Unbekannt
"Unbekannt";1885; """ Sammlung der für die österreichischen Universitäten giltigen Gesetze und Verordnungen""";Unbekannt;Unbekannt
"Oskar Ziegenaus";1885; """ Altertümer von Pergamon""";Unbekannt;Unbekannt
"Unbekannt";1885; """ Jahresberichte der geschichtswissenschaft""";Unbekannt;Unbekannt
"Historische Gesellschaft";1885; """ Jahresberichte der Geschichtswissenschaft""";Unbekannt;Unbekannt
"Harzverein für Geschichte und Altertumskunde";1885; """ Zeitschrift des Harz-vereins für Geschichte und Altertumskunde ...""";Unbekannt;Unbekannt
"DR. J. HERMANN DR. J. JASTROW DR. EDM. MEYER";1885; """ JAHRESBERICHTE DER GESCHICHTSWISSENSCHAFT""";Unbekannt;Unbekannt
"Georg Schuster, Fritz Abraham, Johann Hermann, Edmund Meyer";1885; """ Jahresberichte der Geschichtswissenschaft""";Unbekannt;Unbekannt
"Unbekannt";1885; """ Sammlung der für die österreichischen Universitäten giltigen Gesetze und Verordnungen""";Unbekannt;Unbekannt
"Unbekannt";1885; """ Verhandlungen der Württembergischen Kammer der Abgeordneten auf dem Landtag""";Unbekannt;Unbekannt
"Richard Hess, Richard Alexander Hess";1885; """ Lebensbilder hervorragender Forstmänner und um das Forstwesen verdienter Mathematiker, Naturforscher und Nationalökonomen""";Unbekannt;Unbekannt
"Georg Jakob";1885; """ Die Kunst im Dienste der Kirche""";Unbekannt;Unbekannt
"Unbekannt";1885; """ Jahrbuch über die Fortschritte der Mathematik""";Unbekannt;Unbekannt
"Unbekannt";1885; """ Archiv für Eisenbahnwesen""";Unbekannt;Unbekannt
"Unbekannt";1885; """ Allgemeine deutsche Biographie""";Unbekannt;Unbekannt
"Harzverein für Geschichte und Altertumskunde";1885; """ Zeitschrift des Harz-vereins für Geschichte und Altertumskunde ...""";Unbekannt;Unbekannt
"Albert Schmidt";1885; """ Grundriss der Geschichte der niederländischen Litteratur""";Unbekannt;Unbekannt
"Leonhard Kirchrath";1884; """ Li romans de Durmart le Galois in seinem Verhaeltnisse zu Meraugis de Portlesquez und den Werken Chrestiens de Troies""";Unbekannt;Unbekannt
"Unbekannt";1884; """ Philologische Wochenschrift""";Unbekannt;Unbekannt
"Theodor Kolde";1884; """ Martin Luther""";Unbekannt;Unbekannt
"Unbekannt";1884; """ Zeitschrift für wissenschaftliche Mikroskopie und mikroskopische Technik""";Unbekannt;Unbekannt
"Franz Xaver Kraus";1884; """ Kunst und Alterthum in Elsass-Lothringen""";Unbekannt;Unbekannt
"Unbekannt";1884; """ Verzeichniß der Bücher, Landkarten &c., welche vom ... bis ... neu erschienen oder neu aufgelegt worden sind""";Unbekannt;Unbekannt
"Wilhelm Windelband";1884; """ Präludien""";Unbekannt;Unbekannt
"Gesellschaft für Erdkunde zu Berlin";1884; """ Verhandlungen der Gesellschaft für Erdkunde zu Berlin""";Unbekannt;Unbekannt
"Gesellschaft für Bildende Kunst und Vaterländische Altertümer seit 1820";1884; """ Jahrbuch der Gesellschaft für Bildende Kunst und Vaterländische Altertümer zu Emden""";Unbekannt;Unbekannt
"Heinrich Schliemann";1884; """ Troja""";Unbekannt;Unbekannt
"Unbekannt";1884; """ Antiquarisches Verzeichniss""";Unbekannt;Unbekannt
"Gesellschaft für Bildende Kunst und Vaterländische Altertümer seit 1820";1884; """ Jahrbuch der Gesellschaft für Bildende Kunst und Vaterländische Altertümer zu Emden""";Unbekannt;Unbekannt
"Unbekannt";1884; """ Chemiker-Zeitung""";Unbekannt;Unbekannt
"August Hermann Niemeyer";1884; """ A.H. Niemeyers Grundsätze der Erziehung und des Unterrichts""";Unbekannt;Unbekannt
"Martin Kähler";1883; """ Die Wissenschaft der christlichen Lehre von dem evangelischen Grundartikel aus im Abrisse dargestellt""";Unbekannt;Unbekannt
"Rudolf Lewandowski";1883; """ “Die” Elektro-Technik in der praktischen Heilkunde""";Unbekannt;Unbekannt
"Unbekannt";1883; """ Bericht""";Unbekannt;Unbekannt
"Hans Müller";1883; """ Die Musik Wilhelms von Hirschau""";Unbekannt;Unbekannt
"Theodor Waitz, Otto Willmann";1883; """ Allgemeine Pädagogik und kleinere pädagogische Schriften""";Unbekannt;Unbekannt
"Hermann Mendel, August Reissmann, Franz Magnus Böhme, Alfred Dörffel, Heinrich Ludwig Egmont Dorn";1883; """ Musikalisches Conversations-Lexikon""";Unbekannt;Unbekannt
"Emil von Loeffler";1883; """ Geschichte der Festung Ulm""";Unbekannt;Unbekannt
"Ugo-Angelo Canello";1883; """ La Vita e la opere del trovatore Arnaldo Daniello, Editione critica""";Unbekannt;Unbekannt
"Unbekannt";1883; """ Westermanns Monatshefte""";Unbekannt;Unbekannt
"Unbekannt";1883; """ Zeitschrift für Vermessungswesen""";Unbekannt;Unbekannt
"Gotthold Ephraim Lessing";1883; """ Lessings Werke""";Unbekannt;Unbekannt
"Österreichisches Museum für Angewandte Kunst. Bibliothek";1883; """ Katalog der Bibliothek des K.K. Österreichischen Museums für Kunst und Industrie""";Unbekannt;Unbekannt
"Unbekannt";1883; """ I. Melanesien (II. Teil)""";Unbekannt;Unbekannt
"Martin Kähler";1883; """ Die Wissenschaft der christlichen Lehre von dem evangelischen Grundartikel aus im Abrisse dargestellt""";Unbekannt;Unbekannt
"Freuler";1882; """ Bericht und Antrag des Herrn Ephorus Freuler an den hohen Erziehungsrath des Kantons Schaffhausen über die Reorganisation der Realabtheilung des Gymnasiums""";Unbekannt;Unbekannt
"Ágost Heller";1882; """ Geschichte der Physik von Aristoteles bis auf die neueste Ziet: Bd. Von Aristoteles bis Galilei""";Unbekannt;Unbekannt
"Franz Xaver Krones";1882; """ Grundriss der pesterreichischen Geschichte, mit besonderer Rücksicht auf Quellen- und Literaturkunde""";Unbekannt;Unbekannt
"Christoph Martin Wieland, Heinrich Funck";1882; """ Beiträge zur Wieland-Biographie""";Unbekannt;Unbekannt
"Unbekannt";1882; """ Hinrich's Repertorium über die nach den halbjährlichen verzeichnissen 1871-1885 erschienenen bücher, landkarten c""";Unbekannt;Unbekannt
"Adolph Russell";1882; """ Buch- und Kunst-Katalog""";Unbekannt;Unbekannt
"B. R. Martin";1882; """ Karl Christian Friedrich Krause's Leben, Lehre und Bedeutung ...""";Unbekannt;Unbekannt
"Milwaukee Public Library";1882; """ Katalog der Bücher in deutscher Sprache, welche in der Oeffenlichen Bibliothek der Stadt Milwaukee zu finden sind""";Unbekannt;Unbekannt
"Gesellschaft Deutscher Naturforscher und Ärzte";1882; """ Tageblatt der ... Versammlung Deutscher Naturforscher und Ärzte ...""";Unbekannt;Unbekannt
"Friedrich Paulig";1882; """ Geschichte des dreissigjährigen krieges""";Unbekannt;Unbekannt
"Unbekannt";1882; """ Beiträge zur vaterländischen Geschichte""";Unbekannt;Unbekannt
"Unbekannt";1882; """ Repertorium ueber die nach den halbjährlichen Verzeichnissen der J.C. Hinrichs'schen Buchhandlung in Leipzig erschienenen Bücher, Landkarten, &c ...""";Unbekannt;Unbekannt
"George Grote";1882; """ Geschichte Griechenlands""";Unbekannt;Unbekannt
"Friedrich Paulig";1882; """ Geschichte des dreissigjährigen krieges""";Unbekannt;Unbekannt
"Unbekannt";1882; """ Allgemeine deutsche Biographie ...: Kircher""";Unbekannt;Unbekannt
"Gaudentius Guggenbichler";1882; """ Der Protestantismus und die Franziskaner""";Unbekannt;Unbekannt
"Adolph Russell";1882; """ Buch- und Kunst-Katalog""";Unbekannt;Unbekannt
"George Grote";1882; """ Geschichte Griechenlands""";Unbekannt;Unbekannt
"Unbekannt";1882; """ Hinrich's Repertorium über die nach den halbjährlichen verzeichnissen 1871-1885 erschienenen bücher, landkarten c""";Unbekannt;Unbekannt
"Milwaukee Public Library";1882; """ Katalog der Bücher in deutscher Sprache, welche in der Oeffenlichen Bibliothek der Stadt Milwaukee zu finden sind""";Unbekannt;Unbekannt
"Leo Liepmannssohn Antiquariat";1881; """ Katalog der Musikalischen Bibliothek des verstorbenen Dr. Joseph Müller,... zu Berlin. Erste Abtheilung: Theorie und Geschichte der Musik. Die Versteigerung gegen sofortige baare Zahlung in Deutscher Reichswährung findet am Montag den 12. September 1881 und folgende Tage von 10-2 Uhr im Kunst-Auctionshause, Berlin... Rudolph Lepke... Auctions-Commissar""";Unbekannt;Unbekannt
"Hjalmar Hjorth Boyesen, Otfried Mylius";1881; """ Ein Kommentar zu Goethes Faust""";Unbekannt;Unbekannt
"Unbekannt";1881; """ Verzeichniß der Bücher, Landkarten &c., welche vom ... bis ... neu erschienen oder neu aufgelegt worden sind""";Unbekannt;Unbekannt
"Fr Ahlborn";1881; """ Ueber Berechnung von Summen von grössten Ganzen auf geometrischem Wege nach der von Eisenstein zuerst angewandten Methode""";Unbekannt;Unbekannt
"Unbekannt";1881; """ Fliegende blätter für katholische kirchen-musik""";Unbekannt;Unbekannt
"Julian Pelesz";1881; """ Geschichte der Union der ruthenischen Kirche mit Rom""";Unbekannt;Unbekannt
"Westfälischer Provinzial-Verein für Wissenschaft und Kunst, Münster";1881; """ Jahresbericht des Westfälischen Provinzial-Vereins für Wissenschaft und Kunst""";Unbekannt;Unbekannt
"L. Schoeberlein";1881; """ Die Musik im Cultus der evangelischen Kirche""";Unbekannt;Unbekannt
"Unbekannt";1881; """ Pester medizinisch-chirurgische Presse""";Unbekannt;Unbekannt
"Hans Vaihinger";1881; """ Kants Kritik der reinen Vernunft""";Unbekannt;Unbekannt
"Wilhelm Heinsius";1881; """ Allgemeines buecher-lexikon, oder Vollstaendiges alphabetisches verzeichniss der von 1700 bis zu ende: bd. 1875-79. Bearb. u. hrsg. von O. Kistner. 1881-82. 2 v""";Unbekannt;Unbekannt
"Unbekannt";1881; """ Das Magazin für die Literatur des In- und Auslandes""";Unbekannt;Unbekannt
"Unbekannt";1881; """ Sitzungsberichte der Kurzemer (Kurländischen) Gesellschaft für Literatur und Kunst und Jahresberichte des Kurzemer (Kurländischen) Provinzial-Museums in Jelgava (Mitau)""";Unbekannt;Unbekannt
"Gottfried Wilhelm Freiherr von Leibniz, Denis Papin, Ernst Gerland";1881; """ Leibnizens und Huygens' Briefwechsel mit Papin""";Unbekannt;Unbekannt
"Leopold von Ranke";1881; """ Leopold von Ranke's Sämmtliche Werke""";Unbekannt;Unbekannt
"Heinrich Kerler";1881; """ Antiquarischer Katalog von Heinrich Kerler""";Unbekannt;Unbekannt
"Unbekannt";1881; """ Pädagogische Studien""";Unbekannt;Unbekannt
"Guillaume Stanyhurst";1881; """ Geschichte des Leidens und Sterbens Jesu unsers göttlichen Erlösers in Betrachtungen und Belehrungen""";Unbekannt;Unbekannt
"Wilhelm von Giesebrecht";1880; """ Geschichte der deutschen Kaiserzeit: Bd. Die letzten Zeiten Kaiser Friedrichs des Rothbarts""";Unbekannt;Unbekannt
"Karl Josef Eugen Birnbaum, Eugen Werner";1880; """ Thiel's landwirthschaftliches Konversations-lexikon ...""";Unbekannt;Unbekannt
"Thucydides";1880; """ Geschichte des Peloponnesischen Krieges""";Unbekannt;Unbekannt
"Carl von Ernst";1880; """ Die Kunst des Münzens von den ältesten Zeiten bis zur Gegenwart. Vortrag gehalten in der zur F ier ihres 10-jähr. Bestehens versammelten numismatischen Gesellschaft in Wien""";Unbekannt;Unbekannt
"Carl von Ernst";1880; """ Die Kunst des Münzens von den ältesten Zeiten bis zur Gegenwart. Vortrag gehalten in der zur F ier ihres 10-jähr. Bestehens versammelten numismatischen Gesellschaft in Wien""";Unbekannt;Unbekannt
"Unbekannt";1880; """ Laibacher Wochenblatt""";Unbekannt;Unbekannt
"Unbekannt";1880; """ Allgemeine Zeitung München""";Unbekannt;Unbekannt
"Moritz Cantor";1880; """ Vorlesungen über geschichte der mathematik: Bd. Von den ältesten zeiten bis zum jahre 1200 n. Chr. 1894""";Unbekannt;Unbekannt
"Pirmin August Lindner";1880; """ Die Schriftsteller und die um Wissenschaft und Kunst verdienten Mitglieder des Benediktiner-Ordens im heutigen Königreich Bayern""";Unbekannt;Unbekannt
"Gaudentius Guggenbichler";1880; """ Beiträge zur Kirchengeschichte des xvi. und xvii. Jahrhunderts. Bedeutung und Verdienste des Franziskaner-Ordens im Kampfe gegen den Protestantismus, von p. Gaudentius""";Unbekannt;Unbekannt
"Thucydides";1880; """ Geschichte des Peloponnesischen Krieges""";Unbekannt;Unbekannt
"Wilhelm Windelband";1880; """ Die geschichte der neueren philosophie in ihrem zusammenhange mit der allgemeinen kultur und den besonderen wissenschaften dargestellt: bd. Von Kant bis Hegel und Herbart""";Unbekannt;Unbekannt
"Unbekannt";1880; """ Jahrbuch für die Vertretung und Verwaltung der Ev. Landeskirche AB in Siebenbürgen""";Unbekannt;Unbekannt
